unified_class,class_id,image_name
Оленевые,5,3cf4207b958eade893a2f1618cf062b8.JPG
Кошки,2,37698901280c871f426d40afe5c373cd.JPG
Заяц,0,20e7b30026001cbfe0b5c0ee16c9ff56.JPG
Кошки,2,a1bc8ea546206ee8fc0f1836fda9a5c1.JPG
Оленевые,5,54eb76914b84db8a0d56f98125abf588.JPG
Оленевые,5,f7c7660b9aa41ccce4594ff30ab28e0e.JPG
Оленевые,5,1cd405b1113641e5eeeb941d6e6a0aae.JPG
Полорогие,7,119a0f067390c2bb2e52e05c2c4a2955.JPG
Пантеры,6,b51fadd0683353f77ea9c1bae5aba613.JPG
Оленевые,5,c98e70dadded0b111541a46b089afe91.JPG
Пантеры,6,4b340ace39c10a2ab5123fc6ba738213.JPG
Заяц,0,4f4979b86954853aabfa5735f3dbd5b9.JPG
Оленевые,5,ec989f18173d257c7de639e3aec14933.JPG
Медведь,4,2f95246de465546dc4396d595c170b91.JPG
Кабан,1,8fe770ddd4bcf011cd8f168b9a08135d.JPG
Оленевые,5,828b2745ba4595bbcd5da2a539d69bb0.JPG
Заяц,0,6f0f35e74e40f58a2b804ae2ad3a35e6.JPG
Оленевые,5,8bb3c81379cd387d5662929916adb4ca.JPG
Кабан,1,c6b52718dad78687b8be624080c5cdcd.JPG
Куньи,3,0dc60cdd15d6fc8f33f0b51da20af051.JPG
Оленевые,5,9e792dd9c5edc13d8e23573060c8d38b.JPG
Оленевые,5,e3302af9c84139e46a3bb9deb386c349.JPG
Кошки,2,9c6718085f9e29e7b43b0f074e890422.JPG
Кошки,2,ee3a274e6fc928378a1f427812c68288.JPG
Оленевые,5,ff4b4fe5de42ed5f8913e2bfd911dc74.JPG
Оленевые,5,ab782a342ed47fc11bfb9900dce2568a.JPG
Кабан,1,a1e611c6c5fd2a7c8ca4a4a78f620ba8.JPG
Пантеры,6,13827f149dfacc011c02446d9eb2e293.JPG
Оленевые,5,b0981ecd3c26b100690faef676382f48.JPG
Кабан,1,682f699cea473d3996e9c80888788110.JPG
Полорогие,7,91678ce0884602a0d4390b6987572c1e.JPG
Медведь,4,25b35a2d8e8b6324ba660a6e1d2170ad.JPG
Сурок,9,73343c286c68a533be1c647387cc9e7d.JPG
Оленевые,5,4976ae6357adf6fe24e6e799f46f00e3.JPG
Пантеры,6,2307556de0afbae416971b87b34119d0.JPG
Оленевые,5,25586f351ea300e1a84207a9debc1ff9.JPG
Заяц,0,a28b74e2d649df51179a974e26869b97.JPG
Кабан,1,c1506312c3732734e2ef71047c88b395.JPG
Кабан,1,e42afbd51d807a1840656a4eb17d35bd.JPG
Кошки,2,3055cffff9740bdcfdc977a1475440c8.JPG
Кабан,1,095b23915cf48efb3cd78af8b037fb81.JPG
Полорогие,7,50724ef83f65cad28c1a3f64c3390839.JPG
Оленевые,5,a8b6bf06ed5145b7599ccb4de1c0a4dd.JPG
Оленевые,5,8bb6b3e91eef0de542a59667f43e9497.JPG
